OBJECTID,Survey By,Date Audited,Type of Crosswalk,Width of Crosswalk,Cross Slope of Crosswalk,Crosswalk Paint Condition,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Asset ID,x,y
25,CW,7/10/2023 8:53:14 PM,L,10,2% - 5%,F,87be3429-b1f4-4567-a91a-c4fa8bbc1e3a,ENORTON,7/17/2023 4:49:20 PM,ENORTON,7/16/2024 4:59:06 PM,CRW-01011,1729582.71066806,668774.520122394
26,JB,8/22/2023 5:19:02 PM,L,10,> 5%,P,7ad82778-27f2-4c30-8f85-4f469023e404,ENORTON,8/28/2023 5:37:19 PM,ENORTON,7/11/2024 6:07:10 PM,CRW-01578,1737883.09826672,659237.581847221
27,JB,8/22/2023 5:20:07 PM,L,10,2% - 5%,P,fa36c2d3-8c07-4e33-a22a-38f87cef1911,ENORTON,8/28/2023 5:37:19 PM,ENORTON,8/28/2023 5:37:19 PM,CRW-01579,1737857.77777931,659266.288810804
28,JoS,8/22/2023 2:58:11 PM,L,6,2% - 5%,P,46bd6230-7724-4dc1-b913-90dd76fd5309,ENORTON,8/28/2023 5:37:19 PM,ENORTON,7/15/2024 2:38:04 PM,CRW-01573,1733862.74279039,661752.431148231
29,JoS,6/23/2023 2:25:02 PM,L,10,2% - 5%,P,82a56fa3-c49e-42f9-a571-fdb3b23ae653,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 12:59:47 PM,CRW-00607,1737708.82368089,667947.888245478
30,JoS,11/2/2023 2:24:18 PM,L,10,2% - 5%,P,679ec95e-ada6-4fbd-9ebd-ea83a6aee54b,ENORTON,11/6/2023 3:33:43 PM,ENORTON,7/15/2024 1:12:20 PM,CRW-01930,1744852.55742489,667166.355359733
31,JSw,8/17/2023 3:39:02 PM,L,10,<= 2%,G,998627fd-92d4-414b-9e54-dad79c169acd,ENORTON,8/21/2023 4:38:46 PM,ENORTON,8/21/2023 4:38:46 PM,CRW-01513,1745022.45373863,662306.784698308
32,JoS,6/26/2023 4:39:02 PM,L,10,2% - 5%,P,5947d078-69ac-467b-b536-6eb425f6e200,ENORTON,7/7/2023 6:35:14 PM,ENORTON,7/25/2024 12:59:47 PM,CRW-00766,1735974.7835138,668662.70440115
33,JoS,8/7/2023 5:30:11 PM,T,8,2% - 5%,G,893d94e2-c872-4513-a4d5-de246f0e79c9,ENORTON,8/14/2023 6:03:25 PM,ENORTON,7/16/2024 3:44:11 PM,CRW-01335,1727105.69462472,658934.140524983
34,CW,5/30/2023 2:04:04 PM,L,10,2% - 5%,G,9ee62699-2c01-4994-b418-3f51a7a05865,ENORTON,6/5/2023 11:20:39 PM,ENORTON,7/17/2024 5:18:22 PM,CRW-00220,1739417.42721905,666431.924741983
35,JSw,8/3/2023 9:56:27 PM,T,12,2% - 5%,F,1c8a77f0-5d99-491d-b322-7cc79db900b3,ENORTON,8/8/2023 12:17:10 PM,ENORTON,7/15/2024 12:47:32 PM,CRW-01283,1726913.83772497,663192.040801808
36,JB,8/11/2023 11:45:08 AM,L,10,2% - 5%,F,ea428007-2554-41e8-bb89-e84b56436329,ENORTON,8/14/2023 6:03:25 PM,ENORTON,7/16/2024 3:38:21 PM,CRW-01409,1726293.9111433,658420.216355979
37,AD,7/3/2023 6:46:09 PM,L,10,<= 2%,F,37439b4b-e008-47df-bb5a-1170114c0149,ENORTON,7/11/2023 5:30:19 PM,ENORTON,7/25/2024 12:41:24 PM,CRW-00909,1736277.2061373,653337.741284728
38,SD,7/13/2023 2:55:11 PM,L,10,<= 2%,G,3c210eed-279d-4856-8073-8f44873b13c6,ENORTON,7/17/2023 4:49:20 PM,ENORTON,8/8/2023 12:33:52 PM,CRW-01077,1735571.96476564,656703.420248896
39,KB,11/23/2023 3:24:09 PM,T,10,<= 2%,G,34e2906c-7a73-4f2c-a34a-0e99c99dfc3e,ENORTON,11/27/2023 3:59:39 PM,ENORTON,11/27/2023 3:59:39 PM,CRW-01992,1739019.14192639,673892.853389651
40,RL,6/23/2023 12:26:16 PM,L,10,<= 2%,P,9eb2a28b-09b3-4b7a-8548-be507c5e93fc,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 12:59:47 PM,CRW-00604,1732950.62748864,666649.904620975
41,CW,8/20/2023 9:11:00 PM,L,10,<= 2%,G,31a17c39-9475-4379-97df-209a5e90d867,ENORTON,8/21/2023 4:38:46 PM,ENORTON,8/21/2023 4:38:46 PM,CRW-01541,1742319.7767293,659535.576329976
42,MM,6/27/2023 5:37:20 PM,L,10,<= 2%,F,9729c5a4-4259-4d09-9364-c2a443f71bfd,ENORTON,7/7/2023 6:35:14 PM,ENORTON,7/17/2024 1:24:09 PM,CRW-00791,1733614.82301064,665342.556513891
43,CW,8/2/2023 7:41:10 PM,T,10,<= 2%,G,9762fa8a-fb6e-45e3-927d-4eaf30e474ca,ENORTON,8/8/2023 12:17:10 PM,ENORTON,8/8/2023 12:17:10 PM,CRW-01272,1726365.99794139,662953.894296482
44,JoS,7/20/2023 4:44:18 PM,L,12,2% - 5%,G,d35e1e2d-4e9a-47bc-b87b-a56a68e353f0,ENORTON,7/24/2023 3:48:55 PM,ENORTON,7/16/2024 4:41:23 PM,CRW-01124,1727513.28337647,660964.029509813
45,KB,8/2/2023 2:56:01 PM,L,10,<= 2%,G,0a71aff2-9976-4ef4-a4f4-bbcc6cae9dfe,ENORTON,8/8/2023 12:17:10 PM,ENORTON,8/8/2023 12:17:10 PM,CRW-01242,1731637.46082364,655118.205571562
46,KB,7/27/2023 12:13:07 PM,L,10,<= 2%,G,7a37ba39-749e-4e93-8bc8-f1a6e9a9f771,ENORTON,8/1/2023 6:23:49 PM,ENORTON,7/16/2024 4:27:35 PM,CRW-01176,1735951.48172313,658478.719847888
47,JB,11/15/2023 4:38:00 PM,T,8,<= 2%,P,19c5c870-18f3-43a5-a21d-9a54b8ee638f,ENORTON,11/20/2023 5:18:19 PM,ENORTON,7/15/2024 1:12:20 PM,CRW-01966,1745847.41567139,674653.498193815
48,RL,6/13/2023 3:30:09 PM,L,10,<= 2%,P,d122706c-732e-4b98-9c29-eda4ce5581f7,ENORTON,6/22/2023 1:53:20 PM,ENORTON,7/25/2024 1:51:08 PM,CRW-00401,1735935.61823781,671428.336008981
49,KB,7/4/2023 12:08:37 PM,L,10,2% - 5%,G,c191035d-3fc0-4cb6-bf17-2cb0a88a4b03,ENORTON,7/11/2023 5:30:19 PM,ENORTON,7/25/2024 12:41:24 PM,CRW-00916,1734727.36999814,650283.558088645
50,JoS,11/3/2023 6:54:00 PM,L,10,2% - 5%,F,200e216d-4705-4cc4-a35e-3f922cfd0f00,ENORTON,11/6/2023 3:33:43 PM,ENORTON,7/15/2024 1:12:20 PM,CRW-01941,1742316.3416968,680280.447897896
51,SD,10/5/2023 3:34:13 PM,L,10,2% - 5%,F,0773a318-8957-420d-8fe3-c88a35c407be,ENORTON,10/9/2023 3:25:06 PM,ENORTON,7/15/2024 1:25:22 PM,CRW-01850,1724671.32285306,667125.086741477
52,JB,10/5/2023 4:06:10 PM,NC,0,<= 2%,NA,3d419b10-6cc4-432b-99bb-93e3361d6ef6,ENORTON,10/9/2023 3:25:06 PM,ENORTON,10/9/2023 3:25:06 PM,CRW-01856,1723378.21323456,665132.390923724
53,CW,5/25/2023 5:36:00 PM,L,10,2% - 5%,F,339a04f5-618d-4d9f-af5c-f931d5b62a5e,ENORTON,5/30/2023 5:31:38 PM,ENORTON,7/25/2024 3:19:15 PM,CRW-00103,1740609.33198747,665269.567158565
54,RL,6/21/2023 1:37:16 PM,L,10,2% - 5%,F,8b97ef1f-4cb4-4801-aaec-f699cdf1cc1a,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/25/2024 1:10:40 PM,CRW-00553,1736936.26354621,671330.172491387
55,CW,6/16/2023 10:21:01 PM,L,10,2% - 5%,G,65ba5c57-f196-463d-9484-f88087f7d173,ENORTON,6/22/2023 1:53:20 PM,ENORTON,7/25/2024 1:24:33 PM,CRW-00481,1741589.12694389,664612.108171642
